resolution_id,width_px,height_px,camera_id,model,n_complete_images,detection_latency_median_ms,detection_latency_p95_ms,mapping_latency_median_ms,mapping_latency_p95_ms,pipeline_latency_median_ms,pipeline_latency_p95_ms,p95_equivalent_fps
r640x400,640,400,ihawk1,Affine,162,5.287649999999999,6.641539999999999,0.017086,0.025833499999999995,5.304435,6.658514299999999,150.1836528307824
r640x400,640,400,ihawk1,Homography,162,5.287649999999999,6.641539999999999,0.016242,0.024832799999999995,5.3038549999999995,6.657664599999999,150.20282037037435
r640x400,640,400,ihawk1,PnP,162,5.287649999999999,6.641539999999999,1.329281,1.7838683999999998,6.7030829999999995,8.149156099999999,122.71209285093951
r640x400,640,400,ihawk2,Affine,162,4.66085,6.1166149999999995,0.016985,0.024102899999999993,4.680481,6.1334257,163.0410228985084
r640x400,640,400,ihawk2,Homography,162,4.66085,6.1166149999999995,0.016217,0.02252169999999999,4.676893,6.133105700000001,163.04952970238224
r640x400,640,400,ihawk2,PnP,162,4.66085,6.1166149999999995,1.201646,1.4925384999999998,5.889144,7.337784799999999,136.28091137259847
r480x300,480,300,ihawk1,Affine,127,3.2106,4.0250200000000005,0.01698,0.021827599999999996,3.2286539999999997,4.0425234,247.37024404113527
r480x300,480,300,ihawk1,Homography,127,3.2106,4.0250200000000005,0.016382,0.023302399999999987,3.231132,4.0417566,247.41717499762353
r480x300,480,300,ihawk1,PnP,127,3.2106,4.0250200000000005,1.5624959999999999,2.0830318,4.836554,5.6173535999999995,178.01977073332185
r480x300,480,300,ihawk2,Affine,160,2.91455,3.8512149999999994,0.017009,0.021436099999999996,2.932016,3.8798228999999997,257.74372330242187
r480x300,480,300,ihawk2,Homography,160,2.91455,3.8512149999999994,0.016309999999999998,0.0220268,2.930815,3.8673627999999995,258.57413739409196
r480x300,480,300,ihawk2,PnP,160,2.91455,3.8512149999999994,1.2735560000000001,1.5899605999999993,4.271368,5.1220892,195.23283585143346
r320x200,320,200,ihawk1,Affine,10,1.9837500000000001,2.28641,0.01678,0.019230899999999995,2.000582,2.3032398,434.1710316051329
r320x200,320,200,ihawk1,Homography,10,1.9837500000000001,2.28641,0.016107999999999997,0.0199622,2.0004969999999997,2.3029813999999997,434.21974662930415
r320x200,320,200,ihawk1,PnP,10,1.9837500000000001,2.28641,1.603876,1.7146685,3.6175129999999998,3.8872682,257.2500657402543
r320x200,320,200,ihawk2,Affine,116,1.8527,2.4919249999999997,0.016922,0.025272,1.871672,2.5087734999999998,398.6011491272529
r320x200,320,200,ihawk2,Homography,116,1.8527,2.4919249999999997,0.016172,0.024697999999999998,1.872445,2.5079279999999997,398.73552988762043
r320x200,320,200,ihawk2,PnP,116,1.8527,2.4919249999999997,1.4432019999999999,2.104902,3.391536,4.1562695000000005,240.60037492756422
r240x150,240,150,ihawk1,Affine,0,nan,nan,nan,nan,nan,nan,nan
r240x150,240,150,ihawk1,Homography,0,nan,nan,nan,nan,nan,nan,nan
r240x150,240,150,ihawk1,PnP,0,nan,nan,nan,nan,nan,nan,nan
r240x150,240,150,ihawk2,Affine,6,1.3138,1.4308,0.01686,0.0240695,1.330554,1.447659,690.7704093298214
r240x150,240,150,ihawk2,Homography,6,1.3138,1.4308,0.016165,0.017000499999999998,1.3299159999999999,1.446922,691.1222581452214
r240x150,240,150,ihawk2,PnP,6,1.3138,1.4308,1.490609,1.8239880000000002,2.7625089999999997,3.125638,319.93468213529525
r160x100,160,100,ihawk1,Affine,0,nan,nan,nan,nan,nan,nan,nan
r160x100,160,100,ihawk1,Homography,0,nan,nan,nan,nan,nan,nan,nan
r160x100,160,100,ihawk1,PnP,0,nan,nan,nan,nan,nan,nan,nan
r160x100,160,100,ihawk2,Affine,0,nan,nan,nan,nan,nan,nan,nan
r160x100,160,100,ihawk2,Homography,0,nan,nan,nan,nan,nan,nan,nan
r160x100,160,100,ihawk2,PnP,0,nan,nan,nan,nan,nan,nan,nan
