profile,resolution_id,width_px,height_px,camera_id,model,n_feasible_height_levels,feasible_heights_mm,max_contiguous_feasible_height_from_Z0_mm,z0_is_calibration_condition
precision_30hz,r640x400,640,400,ihawk1,Affine,0,,,1
precision_30hz,r640x400,640,400,ihawk1,Homography,1,0,0.0,1
precision_30hz,r640x400,640,400,ihawk1,PnP,0,,,1
precision_30hz,r640x400,640,400,ihawk2,Affine,0,,,1
precision_30hz,r640x400,640,400,ihawk2,Homography,1,0,0.0,1
precision_30hz,r640x400,640,400,ihawk2,PnP,0,,,1
precision_30hz,r480x300,480,300,ihawk1,Affine,0,,,1
precision_30hz,r480x300,480,300,ihawk1,Homography,1,0,0.0,1
precision_30hz,r480x300,480,300,ihawk1,PnP,0,,,1
precision_30hz,r480x300,480,300,ihawk2,Affine,0,,,1
precision_30hz,r480x300,480,300,ihawk2,Homography,1,0,0.0,1
precision_30hz,r480x300,480,300,ihawk2,PnP,0,,,1
precision_30hz,r320x200,320,200,ihawk1,Affine,0,,,1
precision_30hz,r320x200,320,200,ihawk1,Homography,0,,,1
precision_30hz,r320x200,320,200,ihawk1,PnP,0,,,1
precision_30hz,r320x200,320,200,ihawk2,Affine,0,,,1
precision_30hz,r320x200,320,200,ihawk2,Homography,1,0,0.0,1
precision_30hz,r320x200,320,200,ihawk2,PnP,0,,,1
precision_30hz,r240x150,240,150,ihawk1,Affine,0,,,1
precision_30hz,r240x150,240,150,ihawk1,Homography,0,,,1
precision_30hz,r240x150,240,150,ihawk1,PnP,0,,,1
precision_30hz,r240x150,240,150,ihawk2,Affine,0,,,1
precision_30hz,r240x150,240,150,ihawk2,Homography,0,,,1
precision_30hz,r240x150,240,150,ihawk2,PnP,0,,,1
precision_30hz,r160x100,160,100,ihawk1,Affine,0,,,1
precision_30hz,r160x100,160,100,ihawk1,Homography,0,,,1
precision_30hz,r160x100,160,100,ihawk1,PnP,0,,,1
precision_30hz,r160x100,160,100,ihawk2,Affine,0,,,1
precision_30hz,r160x100,160,100,ihawk2,Homography,0,,,1
precision_30hz,r160x100,160,100,ihawk2,PnP,0,,,1
standard_20hz,r640x400,640,400,ihawk1,Affine,0,,,1
standard_20hz,r640x400,640,400,ihawk1,Homography,1,0,0.0,1
standard_20hz,r640x400,640,400,ihawk1,PnP,0,,,1
standard_20hz,r640x400,640,400,ihawk2,Affine,0,,,1
standard_20hz,r640x400,640,400,ihawk2,Homography,1,0,0.0,1
standard_20hz,r640x400,640,400,ihawk2,PnP,1,0,0.0,1
standard_20hz,r480x300,480,300,ihawk1,Affine,0,,,1
standard_20hz,r480x300,480,300,ihawk1,Homography,1,0,0.0,1
standard_20hz,r480x300,480,300,ihawk1,PnP,0,,,1
standard_20hz,r480x300,480,300,ihawk2,Affine,0,,,1
standard_20hz,r480x300,480,300,ihawk2,Homography,1,0,0.0,1
standard_20hz,r480x300,480,300,ihawk2,PnP,1,0,0.0,1
standard_20hz,r320x200,320,200,ihawk1,Affine,0,,,1
standard_20hz,r320x200,320,200,ihawk1,Homography,0,,,1
standard_20hz,r320x200,320,200,ihawk1,PnP,0,,,1
standard_20hz,r320x200,320,200,ihawk2,Affine,0,,,1
standard_20hz,r320x200,320,200,ihawk2,Homography,1,0,0.0,1
standard_20hz,r320x200,320,200,ihawk2,PnP,0,,,1
standard_20hz,r240x150,240,150,ihawk1,Affine,0,,,1
standard_20hz,r240x150,240,150,ihawk1,Homography,0,,,1
standard_20hz,r240x150,240,150,ihawk1,PnP,0,,,1
standard_20hz,r240x150,240,150,ihawk2,Affine,0,,,1
